Variable,"The District of Algoma Health Unit [Health region], Ontario","Brant County Health Unit [Health region], Ontario","Chatham-Kent Health Unit [Health region], Ontario","Durham Regional Health Unit [Health region], Ontario","The Eastern Ontario Health Unit [Health region], Ontario","Grey Bruce Health Unit [Health region], Ontario","Haldimand-Norfolk Health Unit [Health region], Ontario","City of Hamilton Health Unit [Health region], Ontario","Halton Regional Health Unit [Health region], Ontario","Haliburton, Kawartha, Pine Ridge District Health Unit [Health region], Ontario","Hastings and Prince Edward Counties Health Unit [Health region], Ontario","Huron Perth Health Unit [Health region], Ontario","Kingston, Frontenac and Lennox and Addington Health Unit [Health region], Ontario","Lambton Health Unit [Health region], Ontario","Leeds, Grenville and Lanark District Health Unit [Health region], Ontario","Middlesex-London Health Unit [Health region], Ontario","Niagara Regional Area Health Unit [Health region], Ontario","North Bay Parry Sound District Health Unit [Health region], Ontario","Northwestern Health Unit [Health region], Ontario","City of Ottawa Health Unit [Health region], Ontario","Peel Regional Health Unit [Health region], Ontario","Peterborough County--City Health Unit [Health region], Ontario","Porcupine Health Unit [Health region], Ontario","Sudbury and District Health Unit [Health region], Ontario","Renfrew County and District Health Unit [Health region], Ontario","Simcoe Muskoka District Health Unit [Health region], Ontario","South West [Home and Community Care Support Services], Ontario","Thunder Bay District Health Unit [Health region], Ontario","Timiskaming Health Unit [Health region], Ontario","City of Toronto Health Unit [Health region], Ontario","Waterloo Health Unit [Health region], Ontario","Wellington-Dufferin-Guelph Health Unit [Health region], Ontario","Windsor-Essex County Health Unit [Health region], Ontario","York Regional Health Unit [Health region], Ontario"
"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",49665,55385,42760,241425,85130,69440,44955,221120,207675,77825,70310,54575,86865,52825,75180,201305,194175,55420,26330,404915,448490,60235,33085,84760,44550,228850,406995,62990,14215,1151795,220640,112745,164320,388830
  Spending less than 30% of income on shelter costs,42065,44045,36045,184955,71355,57355,37725,169815,157395,63475,57520,45540,68095,44710,62710,155755,152640,44970,23160,323340,318830,47505,28375,70610,38175,177520,326890,53945,12025,777835,172450,89160,135555,270100
  Spending 30% or more of income on shelter costs,7605,11345,6710,56475,13775,12080,7230,51305,50280,14350,12790,9035,18770,8115,12465,45555,41530,10450,3175,81575,129660,12725,4715,14150,6370,51325,80105,9045,2190,373965,48190,23585,28760,118735
    30% to less than 100%,7195,10520,6240,52085,12930,11045,6665,46570,44115,13175,12030,8445,16935,7510,11555,40875,38175,9725,2985,72595,117795,11715,4380,13120,6015,46715,72940,8255,2005,321675,43455,21600,26230,101570
Total - Occupied private dwellings by housing indicators - 25% sample data,51265,56255,44180,243050,87030,73420,46310,222810,208600,79750,72475,58105,87875,55205,76525,204160,195915,57025,31140,407255,450745,61740,34750,87580,45510,231395,419560,66080,14630,1160890,222425,115135,165785,391035
  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',12290,15730,10435,73110,20370,17305,10540,72125,61655,20050,18605,13030,25360,12165,17990,61440,54850,15140,8390,114035,180130,16870,8745,21485,10110,66490,111295,16200,3720,522155,65520,31510,43015,141630
    Spending 30% or more of income on shelter costs only,6645,10025,5905,51160,12165,10800,6470,44965,46000,12790,11290,8305,16665,7185,10940,40200,37555,9175,2770,71850,111570,11220,4145,12490,5460,46520,71750,7915,1895,315735,43130,21290,25190,107950
    Not suitable only,1030,1990,1180,9335,1920,1335,1235,10135,6260,1695,1800,1385,2055,1080,1290,8030,5530,1220,1195,16145,38015,1350,1000,1940,855,5975,13105,1815,250,98270,9980,3970,6640,14765
    Major repairs needed only,3470,2165,2345,6535,4385,3685,1935,9570,4665,3735,3710,2470,4200,2790,3970,7185,7235,3265,3395,14840,10215,2625,2755,5035,2760,8600,16835,4795,1245,39905,6625,3680,7070,7475
    'Spending 30% or more of income on shelter costs' and 'not suitable',120,365,125,2055,200,155,115,2325,1960,240,275,155,490,135,205,2240,1030,145,75,4175,11985,355,70,200,95,1230,2745,145,15,33665,2415,715,1165,6075
    'Spending 30% or more of income on shelter costs' and 'major repairs needed',800,910,650,3050,1350,1085,620,3755,2235,1305,1160,550,1530,770,1290,2930,2875,1100,320,5275,5450,1110,480,1425,800,3505,5320,960,280,21970,2490,1490,2275,4415
    'Not suitable' and 'major repairs needed',185,235,195,765,285,210,140,1115,455,275,320,140,335,185,265,670,555,200,625,1470,2240,165,275,360,125,585,1250,545,35,10010,725,280,545,660
    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',40,45,35,205,60,45,30,250,80,20,60,25,85,25,30,185,75,35,10,275,655,40,15,35,15,70,285,30,0,2595,155,90,135,290
  Acceptable housing,38970,40525,33740,169940,66665,56115,35775,150685,146945,59695,53865,45075,62515,43040,58530,142720,141065,41885,22750,293215,270615,44875,26010,66095,35405,164905,308265,49875,10905,638740,156905,83620,122775,249405
"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",49265,54560,42285,237040,84280,68400,44390,216390,201505,76650,69550,53985,85030,52220,74270,196625,190815,54700,26140,395940,436625,59225,32755,83725,44195,224235,399830,62200,14025,1099510,215905,110760,161785,371675
  In core need,4345,5185,3025,25165,5845,4000,2435,28055,18170,6950,6920,2920,8045,4410,4875,20085,19570,5690,1920,44435,59765,6435,2475,7185,2900,22270,31665,5375,1420,215225,19355,9805,12965,47835
  Not in core need,44920,49375,39260,211875,78440,64400,41950,188335,183340,69700,62635,51065,76990,47810,69395,176540,171250,49005,24225,351510,376855,52790,30275,76535,41290,201960,368160,56825,12605,884285,196550,100955,148820,323835
"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",35575,39620,30585,190120,62395,54885,37235,145960,163525,64255,51925,40165,57155,39180,58770,124595,141165,40145,20240,259625,335710,43500,23010,57295,33355,180000,280360,45630,10610,602910,143655,83755,119220,320985
  % of owner households with a mortgage,50.9,62.8,53.8,67.5,59.8,50.9,56,60.4,64.7,52.2,54.2,53.5,57.1,52.4,57,60.1,56.9,54.8,50.7,59.8,67.7,53.8,55.9,56.6,54.3,61.1,57.7,51,49.2,56.6,62.8,62.9,57.2,61
  % of owner households spending 30% or more of its income on shelter costs,8,13.2,9.7,18.7,9.8,12.3,12.1,15.8,18.7,13.9,11.6,10.9,11.4,8.4,10.8,12.8,14.5,12.2,7.3,11.7,25.7,12.9,8.1,9.5,9.4,17.4,11.9,8.7,9.6,25.6,13.8,15.3,10.9,26.9
  % in core housing need,4.8,3.9,3.3,6.1,2.9,3.1,2.9,5.5,5.5,5.6,5,2.4,4.1,3.4,3,3.8,4.9,6.1,4.4,4.6,9.2,4.7,3.7,3.7,3.5,5.9,3.1,4.6,7,10.8,3.8,4.4,3.5,9.7
  Median monthly shelter costs for owned dwellings ($),810,1340,860,1860,1110,1000,1080,1440,2000,1020,1000,1030,1210,920,1100,1250,1160,1000,880,1560,2040,1100,970,1130,960,1430,1160,880,810,1740,1530,1620,1070,1940
  Average monthly shelter costs for owned dwellings ($),995,1464,1048,1922,1251,1245,1274,1606,2156,1261,1181,1221,1362,1146,1253,1422,1368,1173,1080,1668,2124,1310,1112,1290,1125,1580,1334,1109,1006,2038,1610,1732,1261,2190
  Median value of dwellings ($),250000,600000,348000,800000,348000,500000,548000,700000,1000000,568000,448000,500000,452000,400000,400000,552000,600000,348000,250000,624000,900000,552000,200000,324000,324000,695000,500000,290000,200000,900000,700000,750000,420000,1100000
  Average value of dwellings ($),268400,649000,376400,833000,400400,616500,591500,752000,1148000,623000,500800,528500,516500,463600,463600,593000,634000,423200,285200,672000,999000,622500,222800,367600,378400,751000,575000,307200,248000,1131000,733000,802000,478800,1230000
"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",14240,15895,12270,51995,22950,14780,7820,76345,44915,13815,18590,14525,30060,13770,16610,77825,53670,15475,6175,146985,114840,16865,10225,27760,11295,49445,128240,17590,3640,557970,77880,29305,45610,69590
  % of tenant households in subsidized housing,21,14.4,14.4,11.9,14.6,16.5,12.8,13.7,10.7,16.4,16.3,14.1,12.1,14.6,14.6,10.5,14.3,17.7,24.3,14.1,12.2,16,21.7,18,17.5,12,12.2,22.9,23.5,14.2,10.4,12.9,16.4,9.7
  % of tenant households spending 30% or more of its income on shelter costs,33.7,38.5,30.7,40.6,33.6,36.2,35.2,37.5,44.4,39.8,36.6,32.3,41.1,35.3,37.1,38.5,39.5,36.3,27.5,35.1,38.4,42.5,28.1,31.6,28.7,40.7,36.7,29.1,32.4,40,36.7,37.1,34.8,47.2
  % in core housing need,19.1,23.7,17,27.6,18,16.1,18.1,27.6,22.6,25.4,24,13.8,20.1,23,19.4,20.9,24.5,21.5,17.2,23.3,27.4,27.2,16.3,18.7,15.7,24.8,18.7,19.5,19.4,29.3,18.9,21.7,20.3,28.2
  Median monthly shelter costs for rented dwellings ($),850,1130,870,1410,910,980,960,1120,1800,1090,1010,1000,1210,970,1010,1120,1100,950,890,1380,1580,1110,840,990,940,1350,1070,950,775,1500,1300,1300,980,1880
  Average monthly shelter costs for rented dwellings ($),876,1198,894,1506,978,1047,1066,1233,1904,1157,1090,1043,1286,1051,1088,1205,1186,992,939,1422,1646,1198,869,1023,984,1410,1152,970,805,1562,1350,1354,1069,1872
"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",615,65,45,25,0,205,0,0,0,75,235,0,0,240,0,30,0,275,3905,0,0,65,1010,1080,55,290,245,2200,70,0,0,0,0,20
"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",11.6,0,0,60,,7.3,,,,20,12.8,,,14.9,,0,,14.5,6.9,,,16.7,5.1,12.1,0,10.5,8.2,7.4,0,,,,,0
"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",472,456,356,765,,400,,,,580,675,,,520,,388,,472,226,,,516,368,464,484,520,400,300,444,,,,,168
"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",462,480,370,850,,416,,,,560,700,,,512,,440,,520,280,,,580,409,466,540,552,420,357,460,,,,,240
Total - Indigenous ancestry for the population in private households - 25% sample data,111010,142685,102095,691360,205955,171260,114785,560915,589770,184765,168385,140370,201355,126050,176650,493455,469455,126225,76100,1000935,1439075,144840,79645,198950,104695,589660,1015465,150355,31850,2761285,579380,303415,415725,1165615
  Indigenous ancestry (only),7585,3060,2035,3535,4290,2265,1445,4280,1300,2145,4365,720,3115,3115,1980,4780,4205,6855,21720,8200,1840,2675,11085,13665,2800,9630,9285,18825,1515,6060,2625,1390,3025,1460
    Single Indigenous ancestry (only),7445,3045,2020,3465,4205,2240,1435,4210,1250,2070,4280,705,3055,3110,1915,4760,4085,6555,21610,7950,1825,2605,10905,13420,2735,9365,9165,18770,1490,5870,2520,1375,2970,1400
      First Nations (North American Indian) single ancestry,6215,2865,1680,2340,3285,1930,1220,3650,945,1555,3630,495,2430,2775,1320,4150,3110,5130,20330,5255,1250,2210,9260,10315,2000,5970,7760,17990,1145,4835,1855,1040,2015,1070
      Métis single ancestry,1200,160,330,1075,835,305,205,545,290,500,595,195,595,335,515,595,935,1350,1260,1950,555,385,1625,3060,710,3320,1350,770,320,975,560,320,915,290
      Inuit single ancestry,30,15,15,50,90,0,15,15,10,10,55,10,25,0,75,20,35,80,25,750,15,10,25,40,20,65,55,10,15,60,100,20,35,45
    Multiple Indigenous ancestries (only),140,15,15,70,85,25,10,70,45,80,80,15,55,0,65,25,125,300,110,255,15,65,175,245,65,265,115,55,25,190,105,15,60,60
      First Nations (North American Indian) and Métis ancestry only,125,10,15,70,80,25,10,60,45,80,80,15,45,0,65,15,120,290,110,200,10,65,140,215,65,240,105,55,25,170,75,15,50,40
      First Nations (North American Indian) and Inuit ancestry only,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,35,0,0,25,35,0,0,0,0,0,15,0,0,10,0
      Métis and Inuit ancestry only,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,30,10,0,0,0,0,0,0,15
      First Nations (North American Indian) and Métis and Inuit ancestry only,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Indigenous and non-Indigenous ancestries,10315,5075,3955,15770,11310,5200,3815,12685,7370,6505,9165,2795,10015,4405,8575,12100,14270,11060,8660,33190,8535,6320,6850,18425,8985,23950,25720,11335,2695,24150,11935,6595,13080,6610
    Single Indigenous and non-Indigenous ancestries,10075,4990,3895,15365,11100,5080,3785,12305,7210,6445,9015,2720,9775,4295,8350,11835,13935,10720,8370,32465,8255,6160,6665,17970,8720,23375,25165,11035,2620,23505,11665,6485,12755,6475
      First Nations (North American Indian) and non-Indigenous ancestry only,6775,4085,2780,11180,8730,3295,3035,9965,5165,4810,6965,2000,7555,3220,6485,9145,9950,7505,5040,23370,6160,4795,3725,11040,6520,14730,18655,8085,1805,17670,8795,4890,8370,4540
      Métis and non-Indigenous ancestry only,3265,865,1095,4020,2300,1730,735,2280,1970,1570,1985,705,2085,1040,1785,2560,3875,3170,3280,8335,1975,1335,2900,6855,2090,8450,6255,2905,800,5660,2655,1535,4290,1860
      Inuit and non-Indigenous ancestry only,40,40,15,170,70,55,20,60,70,65,65,20,140,30,75,125,110,40,40,755,125,35,45,80,105,195,255,45,10,175,215,65,90,80
    Multiple Indigenous and non-Indigenous ancestries,240,90,70,405,205,120,30,380,165,60,150,75,240,115,220,260,335,340,295,725,275,165,180,460,265,580,555,300,75,650,275,110,325,135
      First Nations (North American Indian) and Métis and non-Indigenous ancestry only,215,55,70,365,165,120,30,340,140,50,135,75,200,115,205,245,285,310,290,635,190,165,155,445,265,545,525,275,60,605,215,95,315,115
      First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,15,0,0,15,35,0,0,25,15,10,10,0,20,0,0,15,40,15,0,55,80,0,20,10,0,20,20,15,0,40,30,10,10,10
      Métis and Inuit and non-Indigenous ancestry only,10,30,0,25,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,30,0,0,0
      First Nations (North American Indian) and Métis and Inuit and non-Indigenous ancestry only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0
  Non-Indigenous ancestry only,93105,134545,96100,672050,190360,163795,109530,543950,581105,176115,154860,136855,188225,118520,166095,476585,450975,108305,45720,959545,1428705,135850,61715,166855,92905,556080,980465,120200,27640,2731075,564820,295430,399620,1157540
Total - Citizenship for the population in private households - 25% sample data,111010,142680,102095,691355,205955,171260,114790,560915,589770,184765,168385,140370,201355,126045,176650,493460,469455,126225,76100,1000935,1439075,144840,79640,198945,104695,589660,1015465,150355,31845,2761285,579385,303415,415725,1165615
  Canadian citizens,108365,136465,99830,650445,201870,167915,112355,515580,529380,181730,164525,136905,192875,122045,173815,442665,444055,124320,74690,905595,1183880,140635,78040,192315,103440,566365,952255,145110,31385,2284050,513960,286665,383050,1030990
    Canadian citizens aged under 18,18625,29115,20035,146255,40280,32140,22380,103540,124770,28655,29445,29330,34385,23335,30755,90650,82850,21170,17275,185345,264540,25050,16375,35980,19995,112135,197555,28020,6000,413995,113460,62210,79030,220890
    Canadian citizens aged 18 and over,89735,107350,79795,504190,161595,135775,89980,412045,404605,153080,135080,107575,158490,98710,143065,352010,361215,103150,57410,720245,919340,115585,61665,156330,83450,454225,754700,117095,25385,1870060,400500,224455,304020,810100
  Not Canadian citizens,2645,6215,2265,40905,4080,3345,2430,45335,60390,3035,3860,3465,8480,4000,2830,50795,25395,1905,1415,95345,255195,4200,1600,6635,1255,23300,63210,5245,465,477230,65420,16755,32670,134625
Total - Immigrant status and period of immigration for the population in private households - 25% sample data,111010,142680,102095,691355,205955,171260,114790,560915,589770,184765,168385,140370,201355,126045,176650,493460,469455,126225,76100,1000935,1439075,144840,79640,198945,104695,589660,1015465,150355,31845,2761285,579385,303415,415725,1165615
  Non-immigrants,101650,121000,92320,498755,191980,156740,103035,402730,379025,167430,153350,128015,175735,112410,163930,363235,378055,119175,72225,712105,625555,130625,76450,183955,98760,497145,833015,136205,30605,1329905,409925,244775,309530,582570
  Immigrants,8340,20250,9245,186460,13105,13965,11375,145545,201660,17010,13820,11510,22280,12195,12445,110805,83005,6430,3460,259215,745330,12590,2295,11390,5735,87470,160950,11350,1125,1286140,147190,55280,96940,557025
    Before 1980,5425,6885,3945,45325,4490,7205,5645,40080,38575,10580,6980,5020,8845,6525,6590,25610,33450,3320,1635,42685,103230,5885,930,5015,2455,31400,47625,5985,545,222930,28870,15670,23245,95405
    1980 to 1990,700,2585,1245,23205,1690,1630,1590,17015,19815,2010,1610,1510,2520,1400,1550,13070,9500,780,435,29925,87585,1455,170,945,785,11650,19800,1115,85,156460,16940,7180,10370,74120
    1991 to 2000,505,3030,1105,39325,1850,1620,1395,25760,34370,1620,1635,1535,2590,1120,1200,16505,11460,720,295,51770,162450,1365,250,1030,745,13535,22925,955,85,273985,25085,9180,17865,143595
    2001 to 2010,655,3595,1520,41365,2290,1775,1400,28030,49880,1540,1760,1640,3700,1450,1495,21745,13400,830,395,56120,199145,1705,360,1470,960,15275,29040,1260,140,290400,31590,10355,18360,132280
    2011 to 2021,1050,4155,1430,37240,2785,1730,1335,34665,59025,1260,1835,1810,4615,1700,1610,33875,15195,780,695,78715,192920,2185,590,2930,800,15615,41565,2035,270,342365,44705,12900,27100,111630
      2011 to 2015,395,1890,590,17560,1255,780,590,14520,27635,605,800,620,1805,730,690,13840,6470,305,355,31300,88790,830,230,1215,370,7775,17185,740,130,144320,16865,5645,11270,58135
      2016 to 2021,655,2270,850,19680,1530,950,745,20150,31385,665,1035,1190,2815,970,920,20030,8725,480,345,47410,104130,1350,360,1710,430,7840,24375,1300,145,198045,27835,7255,15835,53495
  Non-permanent residents,1015,1430,530,6140,870,560,380,12645,9085,325,1220,845,3345,1440,275,19415,8390,620,415,29615,68190,1625,900,3605,195,5045,21495,2800,115,145240,22270,3360,9255,26015
Total - Age at immigration for the immigrant population in private households - 25% sample data,8340,20250,9245,186460,13105,13965,11375,145550,201665,17010,13820,11510,22280,12195,12445,110805,83005,6435,3460,259215,745330,12590,2300,11385,5735,87475,160950,11350,1125,1286140,147190,55280,96940,557025
  Under 5 years,1255,2375,1255,18920,1645,2000,1735,15455,22530,2380,1895,1815,2810,1635,1860,13155,9530,1095,565,25575,59350,1795,270,1620,785,10550,20600,1675,190,91035,15520,6530,10135,42935
  5 to 14 years,1925,4305,2235,37310,2725,3235,3055,29440,38855,4015,3045,2580,4945,2495,2780,23150,16925,1295,730,47000,117800,2735,515,2335,1200,18660,34895,2470,240,203840,27930,10705,18520,89845
  15 to 24 years,2190,4450,2015,39740,2735,2995,2645,31890,33025,4170,3160,2570,4225,2855,2705,20835,18520,1260,725,47450,154500,2645,470,2850,1175,20190,32395,2870,225,247955,28675,11850,20695,109960
  25 to 44 years,2515,7660,3165,77255,5175,5010,3400,57530,89830,5595,4810,3935,8845,4515,4285,45210,32070,2380,1265,116090,332280,4610,885,4105,2285,32785,62000,3900,385,605580,63830,22585,38520,251425
  45 years and over,455,1450,580,13240,830,720,545,11230,17430,845,905,615,1450,700,810,8460,5960,405,170,23100,81410,805,155,480,290,5285,11065,430,85,137730,11230,3610,9070,62865
Total - Place of birth for the immigrant population in private households - 25% sample data,8340,20250,9245,186460,13105,13965,11375,145550,201665,17010,13820,11510,22280,12195,12445,110805,83005,6435,3460,259215,745330,12590,2300,11385,5735,87475,160950,11350,1125,1286140,147190,55280,96940,557025
  Americas,1455,3220,2825,43560,2485,2310,2905,19755,25545,2600,2470,2580,3595,2465,2400,17450,15770,1160,1265,36600,108950,1930,350,1645,985,14400,29940,1640,180,210975,20975,7910,16360,44005
    Brazil,25,95,35,815,75,35,45,480,1630,65,50,45,95,35,75,690,400,35,15,1985,1720,35,10,30,65,660,855,40,0,10175,1220,255,245,1850
    Colombia,10,195,55,790,70,40,60,1935,2430,55,50,95,160,55,40,3840,1355,35,0,1755,4525,95,0,40,55,720,4185,70,0,8700,2125,420,390,2135
    El Salvador,0,115,60,495,50,10,35,1810,350,55,45,25,150,110,55,1685,715,15,0,2045,2345,0,0,20,20,585,1780,25,0,6495,2065,270,915,1125
    Guyana,15,175,35,8680,145,150,40,1420,1230,305,170,50,90,55,35,530,455,40,0,1250,20500,150,20,35,35,1165,780,40,10,31025,2410,550,160,6545
    Haiti,0,0,0,455,355,0,0,285,60,15,20,15,15,0,50,35,390,25,0,6710,450,20,10,110,10,85,60,10,10,1655,140,35,225,170
    Jamaica,35,755,205,13880,100,200,265,3350,3140,350,315,130,215,240,110,1630,1640,40,45,3170,33800,160,40,180,70,2155,2470,70,0,42655,2330,1320,1030,8550
    Mexico,40,125,1305,730,105,155,1345,765,1525,30,85,920,170,160,75,710,730,35,60,1710,2095,90,10,45,40,590,6305,40,15,9335,1055,630,3710,1435
    Peru,0,30,0,355,35,35,10,245,1110,45,15,15,60,10,15,130,240,0,0,790,1935,30,0,45,0,365,200,20,0,4105,155,160,140,1310
    Trinidad and Tobago,60,215,95,5970,75,135,180,1345,2025,175,160,55,185,120,100,855,890,60,10,1275,13455,75,25,60,60,945,1170,60,0,18280,885,545,310,3890
    United States of America,1010,890,865,4155,1030,1190,655,4045,6135,1155,1045,910,1850,1395,1545,4055,5850,680,1050,8795,9205,925,165,785,540,3255,7510,980,140,25220,4415,2150,6750,7175
    Other places of birth in Americas,245,620,165,7235,425,375,270,4075,5905,350,505,305,615,290,305,3290,3105,190,70,7115,18920,345,70,295,85,3880,4610,290,0,53325,4165,1575,2480,9830
  Europe,5535,8725,4330,42185,5945,8785,6805,56750,57085,11500,7740,6600,10190,6920,7440,36115,40075,3830,1360,54400,114805,6560,985,5515,3280,44210,63055,6520,545,266215,47970,21565,28800,108480
    Bosnia and Herzegovina,15,60,10,160,25,35,25,2575,1565,15,10,35,25,30,60,1055,550,10,0,1635,2880,30,0,90,0,230,1185,40,0,4910,2895,255,1385,470
    Croatia,80,125,30,440,25,90,115,4040,2430,80,25,40,40,55,20,675,1230,70,20,780,3855,40,40,115,25,330,1020,165,0,4195,2015,330,1640,865
    France,55,70,35,425,325,100,35,415,585,75,135,40,190,40,100,275,255,85,35,2660,855,50,35,80,45,465,430,80,0,5815,425,195,305,925
    Germany,720,495,180,2670,675,1065,525,2630,2510,1125,875,645,1020,445,855,2060,2615,655,235,3395,3420,725,120,530,515,3725,4435,565,85,8915,3850,1340,1135,3175
    Greece,30,70,70,1320,95,30,30,1110,760,125,155,70,190,135,110,1015,550,30,0,800,1965,60,0,115,35,605,1280,80,0,16515,555,215,835,3805
    Hungary,85,250,90,630,130,110,215,1155,775,170,95,10,105,90,105,805,940,70,35,700,1045,75,30,70,35,750,1260,65,0,6135,680,400,595,1790
    Italy,1915,800,280,3295,235,300,270,8905,3555,405,275,185,395,630,190,2165,6955,355,115,4625,13530,255,130,1235,60,4470,3015,1765,55,37705,1155,2135,5595,31305
    Netherlands,155,855,890,1905,705,925,1000,2080,1570,860,835,1705,845,1120,885,2775,3610,275,105,1640,1380,615,50,190,370,1995,8270,240,65,2125,1345,1825,655,1070
    Poland,240,1200,320,2885,185,310,335,5400,6530,370,285,190,395,250,300,4110,3130,195,35,3965,22710,445,45,330,285,3135,5495,445,40,18245,4025,1710,2510,3300
    Portugal,125,660,505,1980,130,190,775,5475,4210,310,260,155,1140,295,80,4175,920,95,55,2000,18350,130,35,160,45,4080,5250,265,20,34360,6590,1175,1620,4420
